iter	MAE
0	0.8245875908
1	0.8016042246
2	0.7821508649
3	0.7703671569
4	0.7562414642
5	0.7380302227
6	0.7272230882
7	0.7158281192
8	0.7087904715
9	0.7013310173
10	0.6978394678
11	0.691761229
12	0.687168102
13	0.6841337583
14	0.6806907857
15	0.6793756875
16	0.6766471756
17	0.6670332027
18	0.6622088266
19	0.6532279371
20	0.6500536909
21	0.6407862372
22	0.6350460959
23	0.6340797119
24	0.6323813595
25	0.6257437325
26	0.623077084
27	0.6196796196
28	0.6192269894
29	0.6155103062
30	0.6140814654
31	0.6109699089
32	0.6070601519
33	0.602473923
34	0.6001686793
35	0.597331055
36	0.5962665594
37	0.5936332048
38	0.5926091027
39	0.5899866294
40	0.5890358946
41	0.5824140906
42	0.5817566722
43	0.5810204634
44	0.5738066263
45	0.5713358738
46	0.5711868678
47	0.5697044902
48	0.5695938467
49	0.5692990097
50	0.5646507442
51	0.5643239974
52	0.5611656532
53	0.5607432139
54	0.5605246486
55	0.5569537152
56	0.5556344789
57	0.5557639992
58	0.5500136316
59	0.5493696264
60	0.548774383
61	0.5476564133
62	0.5467574395
63	0.5363596292
64	0.5291486279
65	0.5287544
66	0.5234883006
67	0.5210026572
68	0.5206664337
69	0.5202963672
70	0.5200102408
71	0.5186096746
72	0.5151548224
73	0.5138876895
74	0.5127842933
75	0.512541115
76	0.5118784613
77	0.5116502018
78	0.5111135908
79	0.5094217411
80	0.5085018252
81	0.5083992453
82	0.5059079969
83	0.5047140769
84	0.5045960456
85	0.5032640502
86	0.502823601
87	0.5027621547
88	0.4996489142
89	0.4986865747
90	0.4967572686
91	0.4951242695
92	0.4946482666
93	0.4944028715
94	0.4940442731
95	0.4927694922
96	0.4919640491
97	0.491550714
98	0.4885581193
99	0.4842646443
100	0.483385005
101	0.4832214594
102	0.4798681593
103	0.4793895505
104	0.4770133059
105	0.4763768941
106	0.4760076366
107	0.4745265064
108	0.4743804596
109	0.4727170905
110	0.4721194625
111	0.4709873214
112	0.4699426872
113	0.4698530676
114	0.4617059842
115	0.461657164
116	0.4607760316
117	0.4589890795
118	0.4586816649
119	0.4578363444
120	0.4568093168
121	0.4512656917
122	0.4491095552
123	0.4485617472
124	0.4483596385
125	0.4480589934
126	0.4459975337
127	0.4457873475
128	0.4452733227
129	0.4430442393
130	0.4419721597
131	0.4417260316
132	0.4408933623
133	0.4408607441
134	0.440811315
135	0.4406652566
136	0.4406792734
137	0.4398414091
138	0.4393710125
139	0.4394554647
140	0.4382288013
141	0.4379280632
142	0.4365176653
143	0.4360808355
144	0.4358692644
145	0.435865369
146	0.4354854719
147	0.4350964246
148	0.434627293
149	0.4346298453
150	0.4345143899
151	0.4343254984
152	0.4342547608
153	0.4338969073
154	0.4338598399
155	0.4333113062
156	0.4331211357
157	0.433014688
158	0.4322801843
159	0.4311919045
160	0.4308138833
161	0.4298423726
162	0.4295992518
163	0.4295996045
164	0.4292378837
165	0.4291001072
166	0.4288110662
167	0.4278400332
168	0.4277480448
169	0.4271886579
170	0.4264606587
171	0.4260785696
172	0.424960829
173	0.4216457768
174	0.420894722
175	0.4188193905
176	0.418279059
177	0.4180971871
178	0.4136142197
179	0.4123952163
180	0.4107326982
181	0.4105201441
182	0.4101750804
183	0.4093571867
184	0.4081897939
185	0.4079003731
186	0.4075439966
187	0.4075002541
188	0.4071279972
189	0.4070954619
190	0.4069387213
191	0.4066719691
192	0.4060148036
193	0.4056730466
194	0.4054843036
195	0.4044635787
196	0.4041835275
197	0.403546228
198	0.4022841785
199	0.4021994287
200	0.4022054835
201	0.4022010809
202	0.4020481095
203	0.4018815552
204	0.4016812764
205	0.4016496784
206	0.4012554919
207	0.4009609133
208	0.4006818285
209	0.4006197816
210	0.4005382649
211	0.4004217019
212	0.400377188
213	0.3976462632
214	0.3965779448
215	0.3953080545
216	0.3912175769
217	0.3909168785
218	0.3908078968
219	0.3905452117
220	0.3899566462
221	0.3897154038
222	0.3885269051
223	0.3863107519
224	0.3847554069
225	0.3834485191
226	0.3830268915
227	0.3828830184
228	0.3827099357
229	0.3819642216
230	0.3818111006
231	0.3818112547
232	0.3817940473
233	0.381746297
234	0.3804426023
235	0.3802690227
236	0.3796677458
237	0.3796094219
238	0.3791708457
239	0.3790218576
240	0.3788581856
241	0.37859029
242	0.3784680334
243	0.3784291464
244	0.3784216765
245	0.3782803877
246	0.3780038246
247	0.3778324167
248	0.3773072998
249	0.3771748093
250	0.3770811255
251	0.3770542484
252	0.3770380607
253	0.3767822476
254	0.3719160423
255	0.3717888199
256	0.3713818676
257	0.3709406062
258	0.3684974798
259	0.3682623375
260	0.3678239211
261	0.3674132264
262	0.3672558957
263	0.3670814443
264	0.3669959352
265	0.3671238021
266	0.3674727609
267	0.3672218282
268	0.3671778286
269	0.3671351049
270	0.3670250459
271	0.3634497746
272	0.3630286935
273	0.3627089876
274	0.3624979873
275	0.3623917928
276	0.3620013452
277	0.3619750169
278	0.3619181558
279	0.3617204781
280	0.361699002
281	0.3614991027
282	0.3613901643
283	0.3603392148
284	0.3600401252
285	0.3598193354
286	0.359760191
287	0.359699458
288	0.3596470251
289	0.3595783408
290	0.3595105735
291	0.3593312975
292	0.3592183693
293	0.3591352031
294	0.3588349529
295	0.3586272714
296	0.358576949
297	0.3584526596
298	0.3583539851
299	0.3581551247
300	0.3579305716
301	0.3575849918
302	0.3575297831
303	0.3574837631
304	0.357034859
305	0.3570112366
306	0.3569374716
307	0.3567922735
308	0.3566836649
309	0.3566026941
310	0.3564970277
311	0.3564328646
312	0.356377043
313	0.3563552811
314	0.3561716277
315	0.3561227088
316	0.3559451761
317	0.3556968734
318	0.3556822948
319	0.3554198884
320	0.3552901522
321	0.3551778976
322	0.3551675402
323	0.3551605376
324	0.3547111934
325	0.3546703959
326	0.3546338183
327	0.3540449351
328	0.3538592161
329	0.3538547451
330	0.3537682618
331	0.3534957685
332	0.3534120009
333	0.3533226035
334	0.3533036657
335	0.3532838146
336	0.3531724316
337	0.353144777
338	0.3531192974
339	0.3530082136
340	0.3516243133
341	0.3515887665
342	0.351409318
343	0.351389991
344	0.3513299145
345	0.351253028
346	0.3512428557
347	0.3511714294
348	0.351128037
349	0.3503146358
350	0.350287372
351	0.3501772672
352	0.3501639682
353	0.3500733855
354	0.350027598
355	0.3497690048
356	0.3497442672
357	0.3496913061
358	0.3496675872
359	0.3496514088
360	0.3496522419
361	0.3493941383
362	0.3493631688
363	0.349275303
364	0.3492210585
365	0.3490989237
366	0.3488436928
367	0.3483203108
368	0.3483140387
369	0.3479635911
370	0.3478478366
371	0.3473411273
372	0.3473242541
373	0.3472894235
374	0.3472225943
375	0.3471796762
376	0.3471434826
377	0.3470236654
378	0.3469379045
379	0.3469079072
380	0.3469007065
381	0.3466920783
382	0.346653189
383	0.3466151082
384	0.3466097101
385	0.3464222815
386	0.3463752015
387	0.3460480846
388	0.3456651131
389	0.3456842251
390	0.3456620464
391	0.345625217
392	0.3455323159
393	0.3455067304
394	0.3454309686
395	0.3454300442
396	0.3453918814
397	0.3453608801
398	0.3448213562
399	0.3445757858
400	0.3445416994
401	0.3444725113
402	0.3444400672
403	0.3443809716
404	0.3443590897
405	0.344280017
406	0.344176391
407	0.343643324
408	0.343707557
409	0.3435855897
410	0.3434917536
411	0.3435233662
412	0.3432491138
413	0.3432164783
414	0.3431222419
