iter	Passed	Remaining
0	28	30673
1	65	35104
2	98	34995
3	129	34654
4	159	34132
5	188	33563
6	227	34601
7	257	34279
8	291	34380
9	327	34816
10	357	34509
11	389	34445
12	422	34419
13	451	34145
14	484	34149
15	523	34537
16	559	34700
17	594	34804
18	643	35679
19	676	35576
20	711	35621
21	750	35826
22	786	35887
23	823	35942
24	858	35964
25	894	35981
26	924	35771
27	957	35683
28	985	35431
29	1017	35349
30	1045	35124
31	1078	35061
32	1110	34959
33	1140	34808
34	1173	34756
35	1204	34668
36	1235	34549
37	1262	34357
38	1296	34343
39	1333	34409
40	1363	34291
41	1392	34148
42	1420	33990
43	1445	33767
44	1477	33726
45	1510	33683
46	1539	33570
47	1571	33524
48	1600	33414
49	1629	33312
50	1659	33231
51	1691	33179
52	1728	33235
53	1764	33255
54	1796	33216
55	1826	33131
56	1867	33253
57	1904	33298
58	1938	33280
59	1973	33293
60	2006	33249
61	2038	33212
62	2069	33138
63	2103	33135
64	2132	33042
65	2164	32988
66	2196	32943
67	2230	32926
68	2260	32859
69	2293	32829
70	2326	32795
71	2357	32744
72	2386	32662
73	2422	32664
74	2450	32569
75	2483	32552
76	2514	32496
77	2553	32540
78	2584	32490
79	2622	32512
80	2659	32533
81	2687	32445
82	2727	32498
83	2763	32507
84	2796	32477
85	2829	32442
86	2865	32442
87	2899	32426
88	2930	32372
89	2963	32337
90	2985	32188
91	3011	32081
92	3041	32019
93	3067	31918
94	3091	31795
95	3116	31685
96	3162	31791
97	3208	31891
98	3242	31871
99	3280	31888
100	3318	31906
101	3359	31944
102	3401	31997
103	3439	32018
104	3472	31975
105	3507	31961
106	3541	31943
107	3578	31937
108	3616	31947
109	3651	31929
110	3687	31927
111	3714	31841
112	3745	31787
113	3776	31733
114	3808	31690
115	3839	31642
116	3870	31590
117	3901	31540
118	3928	31464
119	3958	31405
120	3991	31373
121	4019	31299
122	4058	31309
123	4090	31276
124	4126	31258
125	4155	31200
126	4187	31156
127	4218	31109
128	4250	31073
129	4276	30984
130	4306	30936
131	4336	30878
132	4366	30828
133	4411	30877
134	4442	30834
135	4479	30830
136	4514	30811
137	4551	30803
138	4581	30750
139	4607	30671
140	4633	30595
141	4672	30598
142	4700	30535
143	4741	30558
144	4775	30532
145	4811	30519
146	4841	30463
147	4878	30455
148	4920	30479
149	4958	30478
150	4993	30455
151	5033	30468
152	5075	30487
153	5113	30483
154	5150	30471
155	5185	30449
156	5223	30440
157	5261	30436
158	5299	30429
159	5329	30375
160	5355	30303
161	5388	30266
162	5425	30258
163	5463	30246
164	5500	30233
165	5523	30145
166	5554	30103
167	5590	30084
168	5628	30073
169	5662	30046
170	5698	30023
171	5735	30012
172	5766	29967
173	5820	30037
174	5857	30024
175	5885	29964
176	5916	29917
177	5947	29870
178	5973	29803
179	6002	29748
180	6036	29717
181	6068	29676
182	6096	29618
183	6129	29583
184	6169	29579
185	6208	29573
186	6236	29516
187	6269	29478
188	6300	29434
189	6330	29388
190	6365	29360
191	6400	29334
192	6439	29327
193	6478	29320
194	6511	29285
195	6549	29272
196	6591	29274
197	6626	29252
198	6655	29197
199	6683	29139
200	6712	29088
201	6743	29042
202	6767	28968
203	6791	28897
204	6823	28858
205	6852	28808
206	6884	28767
207	6913	28717
208	6938	28651
209	6973	28624
210	7005	28585
211	7043	28571
212	7067	28502
213	7096	28453
214	7127	28412
215	7159	28371
216	7189	28325
217	7218	28276
218	7244	28218
219	7272	28165
220	7298	28104
221	7334	28084
222	7364	28039
223	7395	27998
224	7429	27966
225	7459	27924
226	7488	27874
227	7515	27821
228	7546	27781
229	7584	27764
230	7616	27728
231	7648	27691
232	7678	27648
233	7709	27608
234	7738	27561
235	7773	27535
236	7805	27499
237	7836	27461
238	7873	27442
239	7909	27420
240	7944	27395
241	7974	27350
242	8007	27317
243	8041	27287
244	8075	27260
245	8107	27223
246	8147	27212
247	8186	27198
248	8219	27168
249	8258	27154
250	8290	27118
251	8335	27123
252	8365	27079
253	8398	27047
254	8430	27011
255	8462	26974
256	8496	26944
257	8527	26903
258	8561	26873
259	8592	26833
260	8619	26783
261	8653	26752
262	8690	26730
263	8722	26697
264	8749	26644
265	8781	26609
266	8818	26587
267	8849	26549
268	8882	26514
269	8911	26471
270	8943	26434
271	8979	26410
272	9007	26363
273	9038	26324
274	9071	26291
275	9104	26256
276	9129	26201
277	9154	26147
278	9186	26109
279	9220	26081
280	9248	26034
281	9275	25983
282	9301	25931
283	9325	25875
284	9356	25836
285	9388	25802
286	9422	25773
287	9454	25738
288	9485	25700
289	9517	25665
290	9548	25627
291	9590	25617
292	9630	25603
293	9671	25592
294	9711	25580
295	9750	25562
296	9789	25545
297	9825	25520
298	9860	25491
299	9897	25468
300	9931	25439
301	9968	25416
302	10007	25398
303	10044	25376
304	10076	25340
305	10112	25314
306	10146	25284
307	10181	25255
308	10216	25226
309	10248	25190
310	10275	25143
311	10307	25107
312	10337	25067
313	10376	25049
314	10407	25010
315	10439	24976
316	10466	24927
317	10491	24875
318	10518	24829
319	10558	24812
320	10590	24777
321	10633	24766
322	10668	24737
323	10701	24707
324	10741	24689
325	10781	24671
326	10816	24644
327	10852	24616
328	10888	24590
329	10918	24550
330	10952	24519
331	10979	24472
332	11010	24435
333	11044	24403
334	11076	24368
335	11108	24333
336	11142	24301
337	11173	24264
338	11202	24222
339	11229	24177
340	11257	24133
341	11282	24083
342	11308	24034
343	11333	23985
344	11355	23928
345	11379	23878
346	11411	23842
347	11439	23798
348	11467	23756
349	11491	23704
350	11518	23660
351	11543	23611
352	11566	23558
353	11592	23512
354	11622	23474
